phone_id,n_network_technology,n_body_weight,n_display_type,n_display_size,n_micro_sdcard,n_sound_3p5mm,n_bluetooth,n_gps,n_comms_usb,n_usb_conn,n_fingerprint,n_android_ver,n_main_camera_resolution,n_main_camera_af,n_main_camera_ois,n_battery_capacity,n_total_cpu_speed,n_internal_memory,n_ram
274,4,460,2,9.6,1,1,4,1,2,2,0,7,5,1,0,4800,5.6,32,3
275,4,140,2,5,1,1,4,1,2,2,0,5.1,13,1,0,2200,5.2,16,2
276,4,350,2,8,1,1,4,1,2,2,0,7,5,1,0,4800,5.6,32,3
277,4,165,2,5.5,1,1,4.1,1,2,2,0,7,12,1,0,4000,11.2,16,2
278,4,150,2,5,1,1,4,1,2,2,0,6,13,1,0,3000,5.6,16,2
279,4,150,2,5,1,1,4,1,2,2,0,6,8,1,0,3000,5.6,16,2
280,4,175,2,5,1,1,4,1,2,2,0,6,8,1,0,2200,4.4,8,1
281,4,146,2,5.2,1,1,4.1,1,2,2,1,7,12,1,0,3000,16.8,64,4
282,4,147,2,5.2,1,1,4.1,1,2,2,1,7,12,1,0,3000,16.8,16,3
283,4,138,3,5,1,1,4.1,1,2,2,1,6,13,1,0,3020,11.2,16,2
284,4,145,3,5,1,1,4,1,2,2,1,6,13,1,0,4100,11.2,16,3
285,4,160,2,5.5,1,1,4.1,1,1,3,1,6,16,1,1,3340,16,32,3
286,3,146,2,5,1,1,4.1,1,1,3,1,6,12,1,0,3020,16,32,3
287,4,250,2,7,1,1,4,1,2,2,1,5.1,13,1,0,4360,9.6,32,3
288,4,278,2,7,1,1,4,1,2,2,0,6,2,0,0,4100,6,16,2
289,4,160,2,5.5,1,1,4.1,1,1,3,1,6,16,1,1,3340,16,64,4
290,4,278,2,7,1,1,4,1,2,2,0,4.4,5,1,0,4100,4.8,16,2
291,4,150,0,4.5,1,1,4,1,2,2,0,5.1,5,1,0,2100,4,8,1
292,4,135,2,5,1,1,4,1,2,2,0,5.1,8,1,0,2200,5.2,8,1
293,4,162,3,5.5,1,1,4.2,1,1,3,1,6,12,1,0,3400,20,64,4
294,4,144,2,5.2,1,1,4.2,1,1,3,1,6,12,1,0,3000,20,32,3
295,4,500,2,10.1,1,1,4,1,2,2,1,5.1,13,1,0,6660,16,16,2
